[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         13158080 function calls (13139699 primitive calls) in 13.799 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 margins.py:3(<module>)
        5    0.000    0.000    0.000    0.000 widgets.py:270(__call__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       17    0.000    0.000    0.000    0.000 PyrexTypes.py:2303(__init__)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        1    0.000    0.000    0.000    0.000 yacc.py:2026(bind_callables)
        8    0.000    0.000    0.000    0.000 __init__.py:2592(_dep_map)
       64    0.000    0.000    0.000    0.000 model.py:213(<listcomp>)
       45    0.000    0.000    0.000    0.000 c_parser.py:853(p_init_declarator_list)
      705    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 vt100.py:179(__init__)
        1    0.000    0.000    0.000    0.000 normalizer.py:1(<module>)
      290    0.000    0.000    0.000    0.000 yacc.py:257(lineno)
        1    0.000    0.000    0.000    0.000 bar.py:148(finish)
       12    0.000    0.000    0.000    0.000 cache.py:133(memoize_method)
       34    0.000    0.000    0.000    0.000 traitlets.py:762(observe)
       14    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.000    0.000 imp.py:7(<module>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
     1368    0.000    0.000    0.000    0.000 __init__.py:1997(__bool__)
        1    0.000    0.000    0.000    0.000 history.py:805(HistorySavingThread)
       11    0.000    0.000    0.000    0.000 argparse.py:657(_fill_text)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 displayhook.py:5(<module>)
      186    0.000    0.000    0.000    0.000 io.py:36(clone)
      810    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      242    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
      257    0.000    0.000    0.000    0.000 yacc.py:254(__len__)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2765(Regex)
        1    0.000    0.000    0.000    0.000 oinspect.py:53(<setcomp>)
      149    0.000    0.000    0.000    0.000 style.py:20(<genexpr>)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       57    0.000    0.000    0.000    0.000 traitlets.py:904(__call__)
        2    0.000    0.000    0.000    0.000 specifiers.py:78(_IndividualSpecifier)
      846    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cparser.py:658(_get_struct_union_enum_type)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 klass.py:39(<module>)
     1201    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      168    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 mixed.py:3(<module>)
        1    0.000    0.000    0.000    0.000 profiledir.py:28(ProfileDir)
       35    0.000    0.000    0.000    0.000 textwrap.py:179(<listcomp>)
       42    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
      154    0.000    0.000    0.000    0.000 six.py:177(_add_module)
      335    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:2626(_build_dep_map)
        1    0.000    0.000    0.000    0.000 old_build_ext.py:50(__init__)
        4    0.000    0.000    0.000    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:4268(postParse)
        5    0.000    0.000    0.000    0.000 widgets.py:632(__call__)
       62    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      173    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        2    0.000    0.000    0.000    0.000 vengine_cpy.py:581(_generate_cpy_anonymous_decl)
       25    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        2    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:1314(__init__)
        3    0.000    0.000    0.000    0.000 tokenize.py:374(read_or_stop)
        8    0.000    0.000    0.000    0.000 plyparser.py:116(_create_param_rules)
       28    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        4    0.000    0.000    0.000    0.000 typing.py:816(__class_getitem__)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        6    0.000    0.000    0.000    0.000 sysconfig.py:452(get_config_vars)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
      4/3    0.000    0.000    0.000    0.000 typing.py:337(__getitem__)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 displaypub.py:13(<module>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      133    0.000    0.000    0.000    0.000 six.py:105(__init__)
      415    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 bar.py:71(finish)
        2    0.000    0.000    0.000    0.000 vengine_cpy.py:466(_generate_struct_or_union_decl)
        1    0.000    0.000    0.000    0.000 sysconfig.py:131(is_python_build)
       31    0.000    0.000    0.000    0.000 vengine_cpy.py:297(_convert_expr_from_c)
       10    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        1    0.000    0.000    0.000    0.000 yacc.py:3233(<listcomp>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:121(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(SetupEnvironment)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
       86    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       91    0.000    0.000    0.000    0.000 converters.py:160(to_unicode)
       48    0.000    0.000    0.000    0.000 __init__.py:1805(_warn_on_replacement)
       72    0.000    0.000    0.000    0.000 argparse.py:616(_iter_indented_subactions)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 ptutils.py:5(<module>)
        1    0.000    0.000    0.000    0.000 python.py:245(Python3Lexer)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        4    0.000    0.000    0.000    0.000 inspect.py:613(cleandoc)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:23(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
      551    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 base.py:35(__or__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 key_processor.py:8(<module>)
       60    0.000    0.000    0.000    0.000 c_parser.py:1094(p_xxx_declarator_1)
       19    0.000    0.000    0.000    0.000 traitlets.py:1862(__init__)
       50    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 module.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
      286    0.000    0.000    0.000    0.000 plyparser.py:20(__init__)
      197    0.000    0.000    0.000    0.000 __init__.py:3027(_always_object)
        6    0.000    0.000    0.000    0.000 cache.py:100(decorator)
        1    0.000    0.000    0.000    0.000 base.py:88(__missing__)
        8    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1288(addParseAction)
        1    0.000    0.000    0.000    0.000 sysconfig.py:50(_python_build)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 excolors.py:4(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:41(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       23    0.000    0.000    0.000    0.000 bar.py:336(get_last_update_time)
       39    0.000    0.000    0.000    0.000 re.py:307(_subx)
        1    0.000    0.000    0.000    0.000 python.py:570(CythonLexer)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
      387    0.000    0.000    0.000    0.000 six.py:88(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      535    0.000    0.000    0.000    0.000 inspect.py:2515(name)
        1    0.000    0.000    0.000    0.000 _cffi.py:63(_make_defines)
        1    0.000    0.000    0.000    0.000 digraphs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:1(<module>)
       32    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
        4    0.000    0.000    0.000    0.000 typing.py:238(_tp_cache)
        5    0.000    0.000    0.000    0.000 widgets.py:568(__call__)
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
       32    0.000    0.000    0.000    0.000 inspect.py:484(unwrap)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1069(wrapper)
        1    0.000    0.000    0.000    0.000 analysis.py:3(<module>)
        2    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
        1    0.000    0.000    0.000    0.000 c_lexer.py:16(CLexer)
        1    0.000    0.000    0.000    0.000 dist.py:1023(DistributionMetadata)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
      196    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      199    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 compilerop.py:11(<module>)
        5    0.000    0.000    0.000    0.000 model.py:583(global_cache)
        1    0.000    0.000    0.000    0.000 ansi_escape_sequences.py:4(<module>)
      160    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:1841(__radd__)
        1    0.000    0.000    0.000    0.000 yacc.py:2970(signature)
       31    0.000    0.000    0.000    0.000 c_parser.py:1236(p_parameter_type_list)
        7    0.000    0.000    0.000    0.000 PyrexTypes.py:3323(__init__)
       42    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:3(<module>)
        5    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        1    0.000    0.000    0.000    0.000 prompts.py:1(<module>)
      204    0.000    0.000    0.000    0.000 __init__.py:919(_added_new)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2045(suppress)
        1    0.000    0.000    0.000    0.000 formatters.py:34(DisplayFormatter)
      179    0.000    0.000    0.000    0.000 constant_names.py:431(no_prefix)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cparser.py:90(_preprocess_extern_python)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      121    0.000    0.000    0.000    0.000 TypeSlots.py:182(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
       18    0.000    0.000    0.000    0.000 argparse.py:902(__init__)
        1    0.000    0.000    0.000    0.000 finder.py:16(<module>)
       87    0.000    0.000    0.000    0.000 c_parser.py:251(_type_modify_decl)
        5    0.000    0.000    0.000    0.000 coroutines.py:104(coroutine)
        1    0.000    0.000    0.000    0.000 magic.py:285(MagicsManager)
        1    0.000    0.000    0.000    0.000 completion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:459(abspath)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
      133    0.000    0.000    0.000    0.000 model.py:47(_get_c_name)
        1    0.000    0.000    0.000    0.000 extensions.py:2(<module>)
      237    0.000    0.000    0.000    0.000 decorator.py:208(<genexpr>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:3935(__init__)
      339    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        4    0.000    0.000    0.000    0.000 __init__.py:366(__getattr__)
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend._get_common_types}
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
       54    0.000    0.000    0.000    0.000 enum.py:886(_power_of_two)
      174    0.000    0.000    0.000    0.000 model.py:12(qualify)
        1    0.000    0.000    0.000    0.000 {built-in method win32api.RegOpenKey}
        1    0.000    0.000    0.000    0.000 keys.py:116(<listcomp>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      490    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
       58    0.000    0.000    0.000    0.000 PyrexTypes.py:276(same_as)
        1    0.000    0.000    0.000    0.000 Options.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:518(exists)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       94    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       22    0.000    0.000    0.000    0.000 argparse.py:239(start_section)
        2    0.000    0.000    0.000    0.000 model.py:272(build_backend_type)
       49    0.000    0.000    0.000    0.000 c_parser.py:1088(p_declarator)
        2    0.000    0.000    0.000    0.000 __init__.py:156(__init__)
        1    0.000    0.000    0.000    0.000 lazy_context.py:1(<module>)
      134    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
       59    0.000    0.000    0.000    0.000 c_lexer.py:326(t_NEWLINE)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4783(<genexpr>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:433(_init_nt)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      389    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        5    0.000    0.000    0.000    0.000 c_parser.py:971(p_struct_declaration_1)
        2    0.000    0.000    0.000    0.000 threading.py:758(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKeyEx}
       76    0.000    0.000    0.000    0.000 traitlets.py:181(is_trait)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 model.py:313(build_backend_type)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        5    0.000    0.000    0.000    0.000 traitlets.py:2150(__init__)
        1    0.000    0.000    0.000    0.000 bar.py:416(default_widgets)
       31    0.000    0.000    0.000    0.000 traitlets.py:2259(class_init)
       22    0.000    0.000    0.000    0.000 widgets.py:72(__call__)
        1    0.000    0.000    0.000    0.000 lex.py:890(<listcomp>)
        1    0.000    0.000    0.000    0.000 layout.py:3(<module>)
       92    0.000    0.000    0.000    0.000 argparse.py:575(format)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4781(<lambda>)
       41    0.000    0.000    0.000    0.000 c_parser.py:741(p_declaration)
        1    0.000    0.000    0.000    0.000 ccompiler.py:4(<module>)
      174    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
      310    0.000    0.000    0.000    0.000 yacc.py:1398(bind)
       50    0.000    0.000    0.000    0.000 bar.py:509(_to_unicode)
        3    0.000    0.000    0.000    0.000 _datasource.py:373(_isurl)
      282    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 recursion.py:27(<module>)
      200    0.000    0.000    0.000    0.000 inspect.py:478(getmro)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1190(setName)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 excolors.py:18(exception_colors)
        1    0.000    0.000    0.000    0.000 build.py:72(finalize_options)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4565(_escapeRegexRangeChars)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.000    0.000 filesystem.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pydoc.py:1698(Helper)
      209    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 display_trap.py:9(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2405(_ParameterKind)
        1    0.000    0.000    0.000    0.000 payload.py:8(<module>)
      103    0.000    0.000    0.000    0.000 c_ast.py:383(__init__)
       35    0.000    0.000    0.000    0.000 StringEncoding.py:215(_to_escape_sequence)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       78    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       37    0.000    0.000    0.000    0.000 argparse.py:1495(_pop_action_class)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 dist.py:44(Distribution)
        2    0.000    0.000    0.000    0.000 cmd.py:47(__init__)
        7    0.000    0.000    0.000    0.000 TypeSlots.py:396(__init__)
        1    0.000    0.000    0.000    0.000 _msvccompiler.py:30(_find_vc2015)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      227    0.000    0.000    0.000    0.000 c_ast.py:716(__init__)
        4    0.000    0.000    0.000    0.000 normalizer.py:7(__new__)
       41    0.000    0.000    0.000    0.000 c_parser.py:546(p_external_declaration_2)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        3    0.000    0.000    0.000    0.000 verifier.py:107(get_module_name)
        1    0.000    0.000    0.000    0.000 typing.py:1448(IO)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        3    0.000    0.000    0.000    0.000 pretty.py:598(_dict_pprinter_factory)
        1    0.000    0.000    0.000    0.000 unistring.py:13(<module>)
       18    0.000    0.000    0.000    0.000 c_parser.py:802(p_declaration_specifiers_6)
        3    0.000    0.000    0.000    0.000 _compatibility.py:277(use_metaclass)
       18    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
        6    0.000    0.000    0.000    0.000 functools.py:476(decorating_function)
        1    0.000    0.000    0.000    0.000 util.py:147(check_environ)
        3    0.000    0.000    0.000    0.000 vengine_cpy.py:204(<listcomp>)
        1    0.000    0.000    0.000    0.000 futures.py:32(Future)
        1    0.000    0.000    0.000    0.000 pep0484.py:20(<module>)
        1    0.000    0.000    0.000    0.000 param.py:1(<module>)
      209    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       20    0.000    0.000    0.000    0.000 argparse.py:879(__init__)
        1    0.000    0.000    0.000    0.000 c_parser.py:19(CParser)
       32    0.000    0.000    0.000    0.000 vengine_cpy.py:420(_generate_cpy_function_method)
        1    0.000    0.000    0.000    0.000 cython.py:7(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1166(__init__)
       13    0.000    0.000    0.000    0.000 imp.py:105(get_suffixes)
        1    0.000    0.000    0.000    0.000 pickleshare.py:69(PickleShareDB)
        1    0.000    0.000    0.000    0.000 context.py:23(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
       48    0.000    0.000    0.000    0.000 TypeSlots.py:89(__init__)
       71    0.000    0.000    0.000    0.000 six.py:184(find_module)
       75    0.000    0.000    0.000    0.000 c_parser.py:1836(p_empty)
       33    0.000    0.000    0.000    0.000 argparse.py:1499(_get_handler)
        4    0.000    0.000    0.000    0.000 util.py:108(make_analysator)
        4    0.000    0.000    0.000    0.000 ssl.py:356(__new__)
        6    0.000    0.000    0.000    0.000 lex.py:477(_names_to_funcs)
        4    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
        1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
       10    0.000    0.000    0.000    0.000 typing.py:841(__init_subclass__)
        2    0.000    0.000    0.000    0.000 log.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        4    0.000    0.000    0.000    0.000 __init__.py:373(__getitem__)
        1    0.000    0.000    0.000    0.000 pstats.py:34(SortKey)
       10    0.000    0.000    0.000    0.000 coloransi.py:113(__init__)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
      115    0.000    0.000    0.000    0.000 c_parser.py:347(<listcomp>)
       37    0.000    0.000    0.000    0.000 argparse.py:802(__init__)
       68    0.000    0.000    0.000    0.000 cparser.py:650(_as_func_arg)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       70    0.000    0.000    0.000    0.000 argparse.py:204(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:2106(timezone)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3098(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:1659(CCodeWriter)
        2    0.000    0.000    0.000    0.000 extension.py:4(<module>)
        1    0.000    0.000    0.000    0.000 PyrexTypes.py:1191(BuiltinObjectType)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
        2    0.000    0.000    0.000    0.000 _compat.py:28(__new__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
        1    0.000    0.000    0.000    0.000 loader.py:63(LazyConfigValue)
        1    0.000    0.000    0.000    0.000 completer.py:568(Completer)
      176    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 wildcard.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _msvccompiler.py:8(<module>)
      378    0.000    0.000    0.000    0.000 inspect.py:2519(default)
       23    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
        1    0.000    0.000    0.000    0.000 defaults.py:137(<listcomp>)
      205    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 monkey.py:38(get_unpatched)
      104    0.000    0.000    0.000    0.000 traceback.py:289(walk_stack)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      352    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 queues.py:20(Queue)
        1    0.000    0.000    0.000    0.000 python.py:28(PythonLexer)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 _base.py:71(_AsCompletedWaiter)
       19    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
       32    0.000    0.000    0.000    0.000 normalizer.py:76(register_rule)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        8    0.000    0.000    0.000    0.000 platform.py:1252(python_implementation)
       11    0.000    0.000    0.000    0.000 loader.py:275(__getattr__)
        1    0.000    0.000    0.000    0.000 capture.py:2(<module>)
       66    0.000    0.000    0.000    0.000 vengine_cpy.py:278(_extra_local_variables)
        1    0.000    0.000    0.000    0.000 bdist.py:4(<module>)
        6    0.000    0.000    0.000    0.000 types.py:237(coroutine)
      119    0.000    0.000    0.000    0.000 enum.py:607(value)
        2    0.000    0.000    0.000    0.000 os.py:687(__delitem__)
        1    0.000    0.000    0.000    0.000 Regexps.py:478(AnyBut)
        1    0.000    0.000    0.000    0.000 dist.py:129(<listcomp>)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
       21    0.000    0.000    0.000    0.000 traitlets.py:855(default)
       18    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.000    0.000 ansi_escape_sequences.py:181(_get_reverse_ansi_sequences)
        1    0.000    0.000    0.000    0.000 vi_state.py:1(<module>)
       17    0.000    0.000    0.000    0.000 argparse.py:844(__init__)
        5    0.000    0.000    0.000    0.000 widgets.py:549(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:3114(_initialize)
       22    0.000    0.000    0.000    0.000 locale.py:384(normalize)
       15    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
       90    0.000    0.000    0.000    0.000 magic.py:112(record_magic)
        1    0.000    0.000    0.000    0.000 autocall.py:13(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:352(get_provider)
       14    0.000    0.000    0.000    0.000 PyrexTypes.py:49(empty_declaration_code)
        7    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        7    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
        3    0.000    0.000    0.000    0.000 datetime.py:1497(__new__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 alias.py:192(AliasManager)
       44    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
      181    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 re.py:297(_compile_repl)
       98    0.000    0.000    0.000    0.000 argparse.py:291(<listcomp>)
        5    0.000    0.000    0.000    0.000 bar.py:524(_needs_update)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 typing.py:1558(TextIO)
        1    0.000    0.000    0.000    0.000 wildcard.py:22(create_typestr2type_dicts)
        1    0.000    0.000    0.000    0.000 verifier.py:246(_caller_dir_pycache)
        1    0.000    0.000    0.000    0.000 getopt.py:15(<module>)
        1    0.000    0.000    0.000    0.000 old_build_ext.py:196(cython_sources)
       74    0.000    0.000    0.000    0.000 argparse.py:1297(_registry_get)
       11    0.000    0.000    0.000    0.000 traitlets.py:2129(__init__)
        1    0.000    0.000    0.000    0.000 dummy.py:4(<module>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4292(__init__)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 project.py:1(<module>)
