[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         13158080 function calls (13139699 primitive calls) in 13.799 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1749    0.003    0.000    0.072    0.000 __init__.py:2647(_get_metadata)
        1    0.000    0.000    0.070    0.070 index_tricks.py:1(<module>)
     1671    0.002    0.000    0.069    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.065    0.065 application.py:10(<module>)
        1    0.000    0.000    0.061    0.061 interactiveshell.py:2(<module>)
      268    0.000    0.000    0.060    0.000 __init__.py:2858(_reload_version)
      268    0.001    0.000    0.059    0.000 __init__.py:2451(_version_from_file)
        1    0.000    0.000    0.059    0.059 application.py:1(<module>)
      205    0.000    0.000    0.057    0.000 __init__.py:3153(<genexpr>)
      204    0.001    0.000    0.057    0.000 __init__.py:2652(activate)
      240    0.001    0.000    0.054    0.000 sre_parse.py:919(parse)
  867/240    0.003    0.000    0.052    0.000 sre_parse.py:417(_parse_sub)
        1    0.000    0.000    0.052    0.052 ipapp.py:6(<module>)
        6    0.000    0.000    0.052    0.009 __init__.py:2(<module>)
        1    0.000    0.000    0.052    0.052 debugger.py:1(<module>)
      464    0.000    0.000    0.051    0.000 {built-in method builtins.next}
 1274/324    0.018    0.000    0.051    0.000 sre_parse.py:475(_parse)
      991    0.002    0.000    0.051    0.000 inspect.py:702(getabsfile)
        3    0.000    0.000    0.050    0.017 __init__.py:3(<module>)
191497/191389    0.036    0.000    0.049    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.049    0.049 completer.py:103(<module>)
   181881    0.038    0.000    0.049    0.000 inspect.py:63(ismodule)
    15/13    0.000    0.000    0.047    0.004 <frozen importlib._bootstrap>:634(_load_backward_compatible)
        9    0.000    0.000    0.047    0.005 __init__.py:35(load_module)
        2    0.000    0.000    0.046    0.023 __init__.py:11(<module>)
        1    0.000    0.000    0.046    0.046 __init__.py:37(<module>)
      280    0.001    0.000    0.046    0.000 __init__.py:2094(_handle_ns)
      204    0.000    0.000    0.044    0.000 __init__.py:2193(fixup_namespace_packages)
        2    0.000    0.000    0.042    0.021 api.py:99(cdef)
        2    0.000    0.000    0.042    0.021 api.py:114(_cdef)
        2    0.000    0.000    0.042    0.021 cparser.py:309(parse)
        2    0.000    0.000    0.042    0.021 cparser.py:319(_internal_parse)
        2    0.000    0.000    0.040    0.020 cparser.py:247(_parse)
      278    0.000    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
        1    0.000    0.000    0.039    0.039 defmatrix.py:1(<module>)
      278    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
        1    0.000    0.000    0.033    0.033 requirements.py:4(<module>)
      728    0.032    0.000    0.032    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.031    0.031 defaults.py:6(<module>)
       42    0.001    0.000    0.030    0.001 {built-in method builtins.sorted}
       20    0.000    0.000    0.030    0.001 __init__.py:1914(_by_version_descending)
        1    0.000    0.000    0.029    0.029 numeric.py:1(<module>)
      278    0.000    0.000    0.029    0.000 __init__.py:1413(get_metadata_lines)
      240    0.000    0.000    0.029    0.000 sre_compile.py:598(_code)
      278    0.001    0.000    0.029    0.000 __init__.py:1407(get_metadata)
      728    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        6    0.000    0.000    0.028    0.005 __init__.py:10(<module>)
        1    0.000    0.000    0.026    0.026 linalg.py:10(<module>)
      484    0.026    0.000    0.026    0.000 {built-in method nt.listdir}
      582    0.001    0.000    0.026    0.000 __init__.py:1404(has_metadata)
        1    0.000    0.000    0.025    0.025 crashhandler.py:8(<module>)
        1    0.000    0.000    0.025    0.025 npyio.py:1(<module>)
      278    0.003    0.000    0.025    0.000 __init__.py:1521(_get)
        1    0.000    0.000    0.025    0.025 magic.py:3(<module>)
        1    0.000    0.000    0.024    0.024 mouse.py:1(<module>)
        1    0.000    0.000    0.024    0.024 Main.py:5(<module>)
        1    0.000    0.000    0.023    0.023 base_events.py:14(<module>)
 2084/240    0.009    0.000    0.023    0.000 sre_compile.py:71(_compile)
      408    0.001    0.000    0.023    0.000 __init__.py:1929(_by_version)
        1    0.000    0.000    0.023    0.023 ultratb.py:81(<module>)
        1    0.000    0.000    0.023    0.023 buffer.py:4(<module>)
        2    0.000    0.000    0.023    0.011 cparser.py:42(_get_parser)
        1    0.000    0.000    0.023    0.023 c_parser.py:21(__init__)
        1    0.000    0.000    0.023    0.023 __init__.py:46(<module>)
        1    0.000    0.000    0.022    0.022 classes.py:5(<module>)
     2169    0.008    0.000    0.022    0.000 version.py:198(__init__)
      408    0.001    0.000    0.021    0.000 __init__.py:1935(<listcomp>)
     8962    0.006    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
3060/1823    0.002    0.000    0.021    0.000 __init__.py:2281(yield_lines)
        1    0.000    0.000    0.021    0.021 containers.py:4(<module>)
        1    0.000    0.000    0.021    0.021 dist.py:424(__init__)
       51    0.001    0.000    0.021    0.000 __init__.py:652(<genexpr>)
     1493    0.001    0.000    0.020    0.000 version.py:24(parse)
      582    0.000    0.000    0.020    0.000 __init__.py:1509(_has)
      650    0.001    0.000    0.020    0.000 __init__.py:2730(get_entry_map)
        1    0.000    0.000    0.020    0.020 code.py:2(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:64(<module>)
        1    0.000    0.000    0.019    0.019 controls.py:3(<module>)
      204    0.000    0.000    0.019    0.000 __init__.py:2422(parse_map)
        1    0.000    0.000    0.018    0.018 oinspect.py:8(<module>)
        1    0.000    0.000    0.018    0.018 traitlets.py:35(<module>)
     1456    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.018    0.018 pyparsing.py:75(<module>)
      676    0.001    0.000    0.018    0.000 __init__.py:1323(safe_version)
   236542    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.017    0.017 request.py:68(<module>)
      777    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.016    0.016 numerictypes.py:81(<module>)
      410    0.016    0.000    0.016    0.000 {built-in method nt._isdir}
      429    0.000    0.000    0.015    0.000 __init__.py:3064(split_sections)
        2    0.000    0.000    0.015    0.008 c_parser.py:132(parse)
        2    0.000    0.000    0.015    0.008 yacc.py:323(parse)
        2    0.004    0.002    0.015    0.008 yacc.py:1001(parseopt_notrack)
   185195    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 __init__.py:41(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:12(<module>)
        1    0.000    0.000    0.015    0.015 c_lexer.py:58(build)
        1    0.000    0.000    0.015    0.015 lex.py:863(lex)
       26    0.000    0.000    0.014    0.001 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.014    0.014 lex.py:211(readtab)
        3    0.000    0.000    0.014    0.005 __init__.py:8(<module>)
        1    0.000    0.000    0.014    0.014 appdirs.py:9(<module>)
        1    0.000    0.000    0.014    0.014 dialogs.py:1(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:86(<module>)
        1    0.000    0.000    0.014    0.014 fftpack.py:32(<module>)
      408    0.001    0.000    0.013    0.000 __init__.py:2468(__init__)
     1600    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.013    0.013 __init__.py:39(<module>)
      116    0.001    0.000    0.013    0.000 decorator.py:190(create)
      111    0.000    0.000    0.013    0.000 decorator.py:218(decorate)
        1    0.000    0.000    0.012    0.012 core.py:7(<module>)
        2    0.000    0.000    0.012    0.006 __init__.py:5(<module>)
        1    0.000    0.000    0.012    0.012 api.py:39(__init__)
        1    0.000    0.000    0.012    0.012 _add_newdocs.py:10(<module>)
     1607    0.004    0.000    0.012    0.000 ntpath.py:75(join)
        2    0.000    0.000    0.012    0.006 function_base.py:1(<module>)
        1    0.000    0.000    0.012    0.012 dist.py:2(<module>)
      277    0.000    0.000    0.012    0.000 function_base.py:431(add_newdoc)
      101    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.012    0.012 client.py:69(<module>)
      103    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.011    0.011 base.py:14(<module>)
        1    0.000    0.000    0.011    0.011 debugger.py:17(<module>)
    17736    0.004    0.000    0.011    0.000 sre_parse.py:254(get)
13243/13239    0.009    0.000    0.011    0.000 {method 'join' of 'str' objects}
       95    0.000    0.000    0.011    0.000 decorator.py:236(decorator)
        1    0.000    0.000    0.010    0.010 cparser.py:1(<module>)
     1084    0.001    0.000    0.010    0.000 version.py:74(__init__)
        1    0.000    0.000    0.010    0.010 polynomial.py:57(<module>)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:201(__call__)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:139(construct_parser)
        1    0.000    0.000    0.010    0.010 _datasource.py:35(<module>)
        1    0.000    0.000    0.010    0.010 main.py:1(<module>)
        1    0.000    0.000    0.010    0.010 imports.py:13(<module>)
        2    0.000    0.000    0.010    0.005 specifiers.py:4(<module>)
        1    0.000    0.000    0.010    0.010 Symtab.py:5(<module>)
     1484    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
       90    0.000    0.000    0.010    0.000 magic.py:186(magic_deco)
     1084    0.003    0.000    0.010    0.000 version.py:131(_legacy_cmpkey)
     4331    0.007    0.000    0.009    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.009    0.009 application.py:2(<module>)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
      840    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      278    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
      756    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        3    0.000    0.000    0.009    0.003 importstring.py:4(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5399(pyparsing_common)
     1053    0.005    0.000    0.008    0.000 ntpath.py:178(split)
        1    0.000    0.000    0.008    0.008 ansi.py:1(<module>)
        1    0.000    0.000    0.008    0.008 current.py:1(<module>)
        1    0.000    0.000    0.008    0.008 pythoncom.py:2(<module>)
        1    0.000    0.000    0.008    0.008 parser.py:5(<module>)
    21369    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    30/28    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    30/28    0.002    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.008    0.008 yacc.py:3214(yacc)
      790    0.005    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
        6    0.007    0.001    0.008    0.001 functions.py:107(backtrack)
      860    0.001    0.000    0.008    0.000 __init__.py:1468(_fn)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
     8962    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        2    0.000    0.000    0.008    0.004 specifiers.py:275(Specifier)
        2    0.000    0.000    0.007    0.004 path.py:4(<module>)
        2    0.000    0.000    0.007    0.004 pywintypes.py:3(__import_pywin32_system_module__)
     1398    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      189    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        9    0.000    0.000    0.007    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 verifier.py:173(_write_source)
        1    0.000    0.000    0.007    0.007 py3compat.py:2(<module>)
        1    0.000    0.000    0.007    0.007 grammar.py:1(<module>)
        2    0.000    0.000    0.007    0.003 parser.py:1(<module>)
       11    0.000    0.000    0.007    0.001 argparse.py:2437(format_help)
       16    0.000    0.000    0.007    0.000 six.py:80(_import_module)
        8    0.000    0.000    0.007    0.001 six.py:114(_resolve)
    12666    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
      116    0.001    0.000    0.006    0.000 decorator.py:156(make)
        1    0.000    0.000    0.006    0.006 process.py:4(<module>)
        1    0.000    0.000    0.006    0.006 utils.py:4(<module>)
 2544/731    0.004    0.000    0.006    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.006    0.006 PyrexTypes.py:5(<module>)
        1    0.000    0.000    0.006    0.006 ssl.py:91(<module>)
        1    0.000    0.000    0.006    0.006 _type_aliases.py:24(<module>)
       11    0.000    0.000    0.006    0.001 argparse.py:283(format_help)
        1    0.000    0.000    0.006    0.006 verifier.py:166(_write_source_to)
        1    0.000    0.000    0.006    0.006 vengine_cpy.py:54(write_source_to_f)
    33/11    0.000    0.000    0.006    0.001 argparse.py:210(format_help)
     5324    0.003    0.000    0.006    0.000 {built-in method builtins.any}
        3    0.001    0.000    0.006    0.002 vengine_cpy.py:209(_generate)
    33/11    0.000    0.000    0.006    0.001 argparse.py:215(<listcomp>)
        1    0.000    0.000    0.006    0.006 yacc.py:1978(read_table)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.006    0.006 bz2.py:5(<module>)
