[[0.82136406 0.        ]
 [0.         0.        ]]
         724932 function calls (722597 primitive calls) in 0.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
       16    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
    81/23    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 functions.py:40(__init__)
        1    0.000    0.000    0.002    0.002 npyio.py:796(loadtxt)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
       16    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
      247    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
     1467    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       54    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBDA226BA0}
        1    0.000    0.000    0.001    0.001 _datasource.py:228(open)
       10    0.001    0.000    0.001    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.001    0.001 _datasource.py:578(open)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
     2463    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _datasource.py:428(_findfile)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
       36    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
       15    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        2    0.000    0.000    0.001    0.001 _datasource.py:364(_possible_names)
        3    0.000    0.000    0.001    0.000 _datasource.py:334(_iszip)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        5    0.000    0.000    0.001    0.000 _datasource.py:203(keys)
        6    0.000    0.000    0.001    0.000 _datasource.py:170(_load)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
     1778    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.001    0.001    0.001    0.001 functions.py:102(backtrack)
       11    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      327    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:332(__init__)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
     1961    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
      142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.001    0.001    0.001    0.001 functions.py:69(init_gap)
        9    0.000    0.000    0.001    0.000 datetime.py:473(__new__)
        4    0.000    0.000    0.001    0.000 warnings.py:119(filterwarnings)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:740(create_module)
       50    0.000    0.000    0.001    0.000 enum.py:283(__call__)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       23    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
       16    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
        2    0.000    0.000    0.001    0.000 enum.py:612(_convert)
     1580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
     3484    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
       26    0.000    0.000    0.001    0.000 core.py:6567(__init__)
        1    0.000    0.000    0.001    0.001 functions.py:121(alignement_from_backtrack)
        1    0.000    0.000    0.000    0.000 functions.py:4(lire_fasta)
       16    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
      422    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      599    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        2    0.000    0.000    0.000    0.000 enum.py:388(_create_)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:518(array2string)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
      393    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      531    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 glob.py:9(glob)
     3203    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 glob.py:39(_iglob)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.copyto}
        1    0.000    0.000    0.000    0.000 numeric.py:293(full)
1919/1833    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
     3609    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      349    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      752    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.000    0.000 arrayprint.py:480(_array2string)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.000    0.000 glob.py:79(_glob1)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1054    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
      164    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    94/36    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:411(_get_format_function)
        1    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 arrayprint.py:367(<lambda>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:834(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      451    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.000    0.000 arrayprint.py:861(fillFormat)
      262    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
       15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       23    0.000    0.000    0.000    0.000 enum.py:815(__and__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        3    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       16    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
     1021    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
       21    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      835    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1021    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      393    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
      203    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       48    0.000    0.000    0.000    0.000 enum.py:525(__new__)
      440    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        2    0.000    0.000    0.000    0.000 npyio.py:1034(read_data)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
      403    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      620    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       58    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
      316    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        2    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
      240    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
    25/20    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       99    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
      153    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       22    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
       13    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
