[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43/23    0.000    0.000    0.003    0.000 sre_parse.py:417(_parse_sub)
    47/23    0.001    0.000    0.003    0.000 sre_parse.py:475(_parse)
      277    0.001    0.000    0.003    0.000 function_base.py:431(add_newdoc)
      162    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 polynomial.py:57(<module>)
       23    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
      343    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
      273    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      409    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      142    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
       16    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 old.py:134(__init__)
    81/23    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 npyio.py:796(loadtxt)
       16    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
    19234    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
      247    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
     1467    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        6    0.000    0.000    0.001    0.000 old.py:356(juke_cantor)
       10    0.001    0.000    0.001    0.000 __init__.py:316(namedtuple)
     2468    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 _datasource.py:228(open)
        1    0.000    0.000    0.001    0.001 warnings.py:85(_showwarnmsg)
        1    0.000    0.000    0.001    0.001 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 _datasource.py:578(open)
        1    0.000    0.000    0.001    0.001 signals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
        1    0.000    0.000    0.001    0.001 _datasource.py:428(_findfile)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      161    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
       16    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
       36    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       16    0.000    0.000    0.001    0.000 arrayprint.py:463(wrapper)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        2    0.000    0.000    0.001    0.000 _datasource.py:364(_possible_names)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.print}
        3    0.000    0.000    0.001    0.000 _datasource.py:334(_iszip)
        5    0.000    0.000    0.001    0.000 _datasource.py:203(keys)
        6    0.000    0.000    0.001    0.000 _datasource.py:170(_load)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:518(array2string)
4644/4558    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:480(_array2string)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
        6    0.001    0.000    0.001    0.000 old.py:350(pdistance)
