[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         54075180 function calls (54056820 primitive calls) in 39.747 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      408    0.002    0.000    0.076    0.000 __init__.py:2481(from_location)
      728    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      728    0.072    0.000    0.072    0.000 {built-in method marshal.loads}
     1924    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
     1668    0.002    0.000    0.071    0.000 genericpath.py:16(exists)
     1749    0.003    0.000    0.069    0.000 __init__.py:2647(_get_metadata)
        1    0.000    0.000    0.065    0.065 application.py:10(<module>)
        1    0.000    0.000    0.064    0.064 interactiveshell.py:2(<module>)
      268    0.000    0.000    0.058    0.000 __init__.py:2858(_reload_version)
        1    0.000    0.000    0.058    0.058 application.py:1(<module>)
        1    0.000    0.000    0.057    0.057 index_tricks.py:1(<module>)
      268    0.001    0.000    0.057    0.000 __init__.py:2451(_version_from_file)
      991    0.002    0.000    0.056    0.000 inspect.py:702(getabsfile)
      205    0.000    0.000    0.056    0.000 __init__.py:3153(<genexpr>)
      204    0.001    0.000    0.056    0.000 __init__.py:2652(activate)
      240    0.001    0.000    0.055    0.000 sre_parse.py:919(parse)
        2    0.000    0.000    0.054    0.027 __init__.py:45(<module>)
  867/240    0.003    0.000    0.053    0.000 sre_parse.py:417(_parse_sub)
 1274/324    0.019    0.000    0.052    0.000 sre_parse.py:475(_parse)
   181878    0.039    0.000    0.051    0.000 inspect.py:63(ismodule)
        1    0.000    0.000    0.051    0.051 ipapp.py:6(<module>)
        1    0.000    0.000    0.051    0.051 debugger.py:1(<module>)
191497/191389    0.038    0.000    0.050    0.000 {built-in method builtins.hasattr}
        6    0.000    0.000    0.050    0.008 __init__.py:2(<module>)
      464    0.000    0.000    0.049    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.048    0.048 completer.py:103(<module>)
        1    0.000    0.000    0.048    0.048 __init__.py:7(<module>)
        2    0.000    0.000    0.045    0.023 __init__.py:11(<module>)
        1    0.000    0.000    0.045    0.045 __init__.py:37(<module>)
      280    0.001    0.000    0.045    0.000 __init__.py:2094(_handle_ns)
