yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
    41/20    0.001    0.000    0.002    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.002    0.002 __init__.py:86(<module>)
        1    0.000    0.000    0.002    0.002 bar.py:1(<module>)
       12    0.000    0.000    0.002    0.000 numeric.py:469(asarray)
      380    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       20    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
      297    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
        1    0.000    0.000    0.002    0.002 linalg.py:10(<module>)
       18    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
      154    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.002    0.002 functions.py:46(__init__)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        1    0.000    0.000    0.001    0.001 runner.py:1(<module>)
    73/20    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
      431    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 npyio.py:796(loadtxt)
        1    0.000    0.000    0.001    0.001 time.py:1(<module>)
     1633    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       12    0.000    0.000    0.001    0.000 functions.py:177(juke_cantor)
