[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         11767264 function calls (11764915 primitive calls) in 15.914 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    142/1    0.003    0.000   15.914   15.914 {built-in method builtins.exec}
        1    0.000    0.000   15.914   15.914 functions.py:1(<module>)
        1    0.000    0.000   13.349   13.349 functions.py:199(main)
        1    0.005    0.005   13.336   13.336 functions.py:174(matrice_distance)
        6    1.978    0.330   13.328    2.221 functions.py:146(needleman_wunsch)
  2922656    6.613    0.000   11.314    0.000 functions.py:80(formule_needleman)
  8767968    4.702    0.000    4.702    0.000 functions.py:46(score)
    162/2    0.005    0.000    2.562    1.281 <frozen importlib._bootstrap>:978(_find_and_load)
    162/2    0.002    0.000    2.562    1.281 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    155/2    0.002    0.000    2.560    1.280 <frozen importlib._bootstrap>:663(_load_unlocked)
    131/2    0.001    0.000    2.560    1.280 <frozen importlib._bootstrap_external>:722(exec_module)
    222/2    0.000    0.000    2.536    1.268 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.001    0.001    2.536    2.536 __init__.py:106(<module>)
   320/12    0.001    0.000    2.100    0.175 {built-in method builtins.__import__}
   845/81    0.002    0.000    2.090    0.026 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        6    0.001    0.000    1.767    0.294 __init__.py:1(<module>)
      131    0.005    0.000    1.651    0.013 <frozen importlib._bootstrap_external>:793(get_code)
      131    1.539    0.012    1.565    0.012 <frozen importlib._bootstrap_external>:914(get_data)
  155/152    0.001    0.000    0.463    0.003 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.453    0.453 __init__.py:7(<module>)
       11    0.000    0.000    0.444    0.040 <frozen importlib._bootstrap_external>:1040(create_module)
       11    0.419    0.038    0.444    0.040 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.308    0.154 __init__.py:45(<module>)
        1    0.000    0.000    0.244    0.244 npyio.py:1(<module>)
        1    0.000    0.000    0.213    0.213 index_tricks.py:1(<module>)
        1    0.000    0.000    0.202    0.202 multiarray.py:7(<module>)
        1    0.000    0.000    0.201    0.201 _datasource.py:35(<module>)
        1    0.000    0.000    0.186    0.186 shutil.py:5(<module>)
        3    0.000    0.000    0.180    0.060 __init__.py:332(__init__)
        2    0.180    0.090    0.180    0.090 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.180    0.180 overrides.py:1(<module>)
        1    0.000    0.000    0.140    0.140 utils.py:4(<module>)
      159    0.004    0.000    0.139    0.001 <frozen importlib._bootstrap>:882(_find_spec)
        1    0.000    0.000    0.138    0.138 __init__.py:3(<module>)
